corridor,centroid_lat,centroid_lon,event_count
Airport New South Road,13.028476852380953,77.63402224269842,63
Bannerghata Road,12.896567045480769,77.59792302485576,208
Bellary Road 1,13.016890076293246,77.5864151949588,607
Bellary Road 2,13.105955984643801,77.60327070794196,379
CBD 1,12.980940851999998,77.60666222799999,25
CBD 2,12.98356557744898,77.59478823622449,98
Hennur Main Road,13.051385713829786,77.62623186872341,94
Hosur Road,12.915348423939394,77.62472910006734,297
IRR(Thanisandra road),12.93750642368421,77.62694487126316,95
Magadi Road,12.985094990740741,77.52315729888889,243
Mysore Road,12.958088393282969,77.5641858289011,728
Non-corridor,12.983002549863814,77.59921222583982,3084
ORR East 1,12.928247835371902,77.66898339892562,242
ORR East 2,12.975979768961748,77.69592296759562,183
ORR North 1,13.024644010145986,77.63734321259123,274
ORR North 2,13.041927711489363,77.5588224812766,235
ORR West 1,12.921011866566266,77.55895797307228,166
Old Airport Road,12.958863577297297,77.66190645243243,74
Old Madras Road,12.981009590116733,77.62958177840467,257
Tumkur Road,13.03145855635371,77.53366288997817,458
Varthur Road,12.9565573436,77.71609161613333,75
West of Chord Road,12.982936885406975,77.54627674447674,172
